"group","species_name","data_quality","exposure_factor","score","type"
"Forage","Pacific herring",2,"SS",1.73,"anomaly"
"Forage","Pacific herring",2,"SpH",4,"anomaly"
"Forage","Pacific herring",2,"PhT",1,"anomaly"
"Forage","Pacific herring",2,"ZP",1,"anomaly"
"Forage","Pacific herring",2,"SO2",3.29,"anomaly"
"Forage","Pacific herring",2,"AT",2.77,"anomaly"
"Forage","Pacific herring",2,"MHW",3.15,"anomaly"
"Rockfish","Pacific ocean perch",3,"BT",1.52,"anomaly"
"Rockfish","Pacific ocean perch",3,"BS",1.4,"anomaly"
"Rockfish","Pacific ocean perch",3,"BpH",4,"anomaly"
"Rockfish","Pacific ocean perch",3,"PhT",1,"anomaly"
"Rockfish","Pacific ocean perch",3,"ZP",1,"anomaly"
"Rockfish","Pacific ocean perch",3,"BO2",1.97,"anomaly"
"Rockfish","Pacific ocean perch",3,"MHW",3.11,"anomaly"
"Forage","Pacific sand lance",2,"SST",1.01,"anomaly"
"Forage","Pacific sand lance",2,"SS",1.73,"anomaly"
"Forage","Pacific sand lance",2,"SpH",4,"anomaly"
"Forage","Pacific sand lance",2,"PhT",1,"anomaly"
"Forage","Pacific sand lance",2,"ZP",1,"anomaly"
"Forage","Pacific sand lance",2,"SO2",3.29,"anomaly"
"Forage","Pacific sand lance",2,"AT",2.77,"anomaly"
"Forage","Pacific sand lance",2,"MHW",3.15,"anomaly"
"Forage","Pacific sandfish",1,"BT",1.57,"anomaly"
"Forage","Pacific sandfish",1,"BS",1.41,"anomaly"
"Forage","Pacific sandfish",1,"BpH",4,"anomaly"
"Forage","Pacific sandfish",1,"PhT",1,"anomaly"
"Forage","Pacific sandfish",1,"ZP",1,"anomaly"
"Forage","Pacific sandfish",1,"BO2",2.19,"anomaly"
"Forage","Pacific sandfish",1,"MHW",2.77,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"SST",1.01,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"SS",1.53,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"SpH",4,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"PhT",1,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"ZP",1,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"SO2",2.39,"anomaly"
"Elasmobranch","Pacific spiny dogfish",3,"MHW",2.26,"anomaly"
"Flatfish","Petrale sole",3,"BT",1.27,"anomaly"
"Flatfish","Petrale sole",3,"BS",1.6,"anomaly"
"Flatfish","Petrale sole",3,"BpH",3.99,"anomaly"
"Flatfish","Petrale sole",3,"PhT",1,"anomaly"
"Flatfish","Petrale sole",3,"ZP",1,"anomaly"
"Flatfish","Petrale sole",3,"BO2",1.48,"anomaly"
"Flatfish","Petrale sole",3,"MHW",3.59,"anomaly"
"Salmon","Pink salmon",2,"SST",1.01,"anomaly"
"Salmon","Pink salmon",2,"SS",1.5,"anomaly"
"Salmon","Pink salmon",2,"SpH",4,"anomaly"
"Salmon","Pink salmon",2,"PhT",1,"anomaly"
"Salmon","Pink salmon",2,"ZP",1,"anomaly"
"Salmon","Pink salmon",2,"SO2",2.89,"anomaly"
"Salmon","Pink salmon",2,"AT",2.97,"anomaly"
"Salmon","Pink salmon",2,"PR",1.92,"anomaly"
"Salmon","Pink salmon",2,"MHW",3.23,"anomaly"
"Groundfish","Plain sculpin",1,"BT",1.54,"anomaly"
"Groundfish","Plain sculpin",1,"BS",1.45,"anomaly"
"Groundfish","Plain sculpin",1,"BpH",4,"anomaly"
"Groundfish","Plain sculpin",1,"PhT",1,"anomaly"
"Groundfish","Plain sculpin",1,"ZP",1,"anomaly"
"Groundfish","Plain sculpin",1,"BO2",2.1,"anomaly"
"Groundfish","Plain sculpin",1,"MHW",2.92,"anomaly"
"Mollusc","Razor clam",1,"BT",1.39,"anomaly"
"Mollusc","Razor clam",1,"BS",1.31,"anomaly"
"Mollusc","Razor clam",1,"BpH",4,"anomaly"
"Mollusc","Razor clam",1,"PhT",1,"anomaly"
"Mollusc","Razor clam",1,"ZP",1,"anomaly"
"Mollusc","Razor clam",1,"BO2",1.64,"anomaly"
"Mollusc","Razor clam",1,"AT",2.75,"anomaly"
"Mollusc","Razor clam",1,"MHW",2.39,"anomaly"
"Crustacean","Red king crab",2,"BT",1.5,"anomaly"
"Crustacean","Red king crab",2,"BS",1.46,"anomaly"
"Crustacean","Red king crab",2,"BpH",3.99,"anomaly"
"Crustacean","Red king crab",2,"PhT",1,"anomaly"
"Crustacean","Red king crab",2,"ZP",1,"anomaly"
"Crustacean","Red king crab",2,"BO2",1.84,"anomaly"
"Crustacean","Red king crab",2,"MHW",3.15,"anomaly"
"Rockfish","Redbanded rockfish",3,"BT",1.33,"anomaly"
"Rockfish","Redbanded rockfish",3,"BS",1.56,"anomaly"
